Key Location,Province/State,Country/Region,Lat,Long,Max of Confirmed,Max of Deaths,Max of Recovered,Death-Rate
", Trinidad and Tobago",,Trinidad and Tobago,10.6918,-61.2225,9,0,0,0.00
", Tunisia",,Tunisia,34,9,54,1,0,0.02
", Turkey",,Turkey,38.9637,35.2433,359,4,0,0.01
", Ukraine",,Ukraine,48.3794,31.1656,29,3,0,0.10
", United Arab Emirates",,United Arab Emirates,24,54,140,2,31,0.01
", Uruguay",,Uruguay,-32.5228,-55.7658,94,0,0,0.00
", Uzbekistan",,Uzbekistan,41.3775,64.5853,33,0,0,0.00
", Venezuela",,Venezuela,6.4238,-66.5897,42,0,0,0.00
", Vietnam",,Vietnam,16,108,91,0,16,0.00
", Zambia",,Zambia,-15.4167,28.2833,2,0,0,0.00
", Zimbabwe",,Zimbabwe,-20,30,1,0,0,0.00
"Alabama, US",Alabama,US,32.3182,-86.9023,83,0,0,0.00
"Alaska, US",Alaska,US,61.3707,-152.4044,12,0,0,0.00
"Alberta, Canada",Alberta,Canada,53.9333,-116.5765,146,1,0,0.01
"Anhui, China",Anhui,China,31.8257,117.2264,990,6,984,0.01
"Arizona, US",Arizona,US,33.7298,-111.4312,78,0,1,0.00
"Arkansas, US",Arkansas,US,34.9697,-92.3731,96,0,0,0.00
"Aruba, Netherlands",Aruba,Netherlands,12.5186,-70.0358,5,0,0,0.00
"Australian Capital Territory, Australia",Australian Capital Territory,Australia,-35.4735,149.0124,6,0,0,0.00
"Beijing, China",Beijing,China,40.1824,116.4142,491,8,390,0.02
"Bermuda, United Kingdom",Bermuda,United Kingdom,32.3078,-64.7505,2,0,0,0.00
"British Columbia, Canada",British Columbia,Canada,49.2827,-123.1207,271,8,4,0.03
"California, US",California,US,36.1162,-119.6816,1177,23,6,0.02
"Cayman Islands, United Kingdom",Cayman Islands,United Kingdom,19.3133,-81.2546,3,1,0,0.33
"Channel Islands, United Kingdom",Channel Islands,United Kingdom,49.3723,-2.3644,14,0,0,0.00
"Chongqing, China",Chongqing,China,30.0572,107.874,576,6,570,0.01
"Colorado, US",Colorado,US,39.0598,-105.3111,363,4,0,0.01
"Connecticut, US",Connecticut,US,41.5978,-72.7554,194,3,0,0.02
"Curacao, Netherlands",Curacao,Netherlands,12.1696,-68.99,3,1,0,0.33
"Delaware, US",Delaware,US,39.3185,-75.5071,38,0,0,0.00
"Denmark, Denmark",Denmark,Denmark,56.2639,9.5018,1255,9,1,0.01
"Diamond Princess, Cruise Ship",Diamond Princess,Cruise Ship,35.4437,139.638,712,7,325,0.01
"Diamond Princess, US",Diamond Princess,US,35.4437,139.638,49,0,0,0.00
"District of Columbia, US",District of Columbia,US,38.8974,-77.0268,71,1,0,0.01
"Faroe Islands, Denmark",Faroe Islands,Denmark,61.8926,-6.9118,80,0,0,0.00
"Florida, US",Florida,US,27.7663,-81.6868,563,10,0,0.02
"France, France",France,France,46.2276,2.2137,12612,450,12,0.04
"French Guiana, France",French Guiana,France,3.9339,-53.1258,15,0,0,0.00
"French Polynesia, France",French Polynesia,France,-17.6797,149.4068,11,0,0,0.00
"From Diamond Princess, Australia",From Diamond Princess,Australia,35.4437,139.638,8,0,0,0.00
"Fujian, China",Fujian,China,26.0789,117.9874,299,1,295,0.00
"Gansu, China",Gansu,China,37.8099,101.0583,134,2,98,0.01
"Georgia, US",Georgia,US,33.0406,-83.6431,420,13,0,0.03
"Gibraltar, United Kingdom",Gibraltar,United Kingdom,36.1408,-5.3536,10,0,2,0.00
"Grand Princess, Canada",Grand Princess,Canada,37.6489,-122.6655,10,0,0,0.00
"Grand Princess, US",Grand Princess,US,37.6489,-122.6655,23,0,0,0.00
"Greenland, Denmark",Greenland,Denmark,71.7069,-42.6043,2,0,0,0.00
"Guadeloupe, France",Guadeloupe,France,16.25,-61.5833,45,0,0,0.00
"Guam, US",Guam,US,13.4443,144.7937,14,0,0,0.00
"Guangdong, China",Guangdong,China,23.3417,113.4244,1395,8,1323,0.01
"Guangxi, China",Guangxi,China,23.8298,108.7881,254,2,250,0.01
"Guizhou, China",Guizhou,China,26.8154,106.8748,147,2,144,0.01
"Hainan, China",Hainan,China,19.1959,109.7453,168,6,161,0.04
"Hawaii, US",Hawaii,US,21.0943,-157.4983,26,0,0,0.00
